Name,Age,Tm,Pos,Season,G,Int,PD,FF,Sk,Comb,Solo,Ast,TFL,QBHits,DefFS,Value,Rush,Coverage,Tackle
Blake Cashman,27,HOU,LB,2023,4,1,2,0,0,17,9,8,2,1,0.59,0.03,-0.1334408580993165,1.2966898524496024,-0.32566027970153477
Zaven Collins,24,ARI,LB,2023,5,1,1,0,2.5,12,9,3,2,3,0.32,0.02,0.7401797597696463,0.5618209865663065,-0.9932603893555851
Quandre Diggs,30,SEA,FS,2023,4,1,1,0,0,14,9,5,0,0,-0.1,-0.01,-0.7952746595151975,0.8884293714033269,-0.5433559676322034
Victor Dimukeje,24,ARI,OLB,2023,5,0,0,1,2.5,14,9,5,3,4,-0.17,-0.01,1.0578599844492693,-0.7446125527817751,-0.8771560224592286
Justin Evans,28,PHI,S,2023,4,0,2,1,0,15,9,6,0,0,-0.59,-0.03,-0.7952746595151975,0.07190840931077593,-0.47079073832198054
Will Harris,28,DET,CB,2023,5,0,1,0,0,12,9,3,1,1,-1.16,-0.07,-0.4775944348355746,-0.41800416794475465,-0.9932603893555851
Trey Hendrickson,29,CIN,DE,2023,5,0,2,1,6,17,9,8,5,7,1.17,0.07,2.9109946284137362,-0.09139578310773423,-0.7029994721146936
Tre Herndon,27,JAX,CB,2023,5,0,3,1,0,15,9,6,0,2,-0.57,-0.04,-0.5834878430621155,0.2352126017292861,-0.8191038390110503
Elijah Hicks,24,CHI,DB,2023,5,0,1,0,0,16,9,7,0,0,-1.24,-0.08,-0.7952746595151975,-0.41800416794475465,-0.761051655562872
Jerry Hughes,35,HOU,DE,2023,5,0,0,0,1,11,9,2,3,1,-0.85,-0.05,0.2636594227502121,-0.7446125527817751,-1.0513125728037633
Michael Jackson,26,SEA,CB,2023,4,0,1,0,0,10,9,1,0,0,-1.23,-0.06,-0.7952746595151975,-0.3363520717354995,-0.8336168848730948
D.J. Jones,28,DEN,DT,2023,5,0,0,0,0,11,9,2,0,1,-1.83,-0.12,-0.6893812512886566,-0.7446125527817751,-1.0513125728037633
Jaylon Jones,26,CHI,DB,2023,5,0,0,0,0,12,9,3,1,1,-1.49,-0.09,-0.4775944348355746,-0.7446125527817751,-0.9932603893555851
Justin Madubuike,26,BAL,DT,2023,5,0,0,0,2.5,15,9,6,3,4,-0.14,-0.01,1.0578599844492693,-0.7446125527817751,-0.8191038390110503
Nick Niemann,26,LAC,LB,2023,4,0,1,0,0,17,9,8,0,0,-0.79,-0.04,-0.7952746595151975,-0.3363520717354995,-0.32566027970153477
Osa Odighizuwa,25,DAL,DT,2023,5,0,0,0,3,14,9,5,4,5,0.11,0.01,1.534380321468704,-0.7446125527817751,-0.8771560224592286
Kwity Paye,25,IND,DE,2023,4,0,0,0,3,12,9,3,4,4,0.45,0.02,1.9844273064315028,-0.7446125527817751,-0.6884864262526491
Taylor Rapp,26,BUF,S,2023,5,0,0,0,0,13,9,4,0,0,-1.81,-0.11,-0.7952746595151975,-0.7446125527817751,-0.9352082059074067
Jeffery Simmons,26,TEN,DT,2023,5,0,0,0,2.5,17,9,8,3,5,-0.01,-0,1.1637533926758103,-0.7446125527817751,-0.7029994721146936
Juan Thornhill,28,CLE,S,2023,3,0,0,0,0,13,9,4,0,0,-0.93,-0.04,-0.7952746595151975,-0.7446125527817751,-0.08377618200079198
Joshua Williams,24,KAN,DB,2023,5,0,1,0,0,11,9,2,1,0,-1.32,-0.08,-0.5834878430621155,-0.41800416794475465,-1.0513125728037633
Deatrich Wise Jr.,29,NWE,DL,2023,5,0,0,0,1,20,9,11,1,1,-0.77,-0.05,-0.15991421015595175,-0.7446125527817751,-0.5288429217701589
Paulson Adebo,24,NOR,CB,2023,3,1,3,0,0,9,8,1,0,0,0.75,0.03,-0.7952746595151975,2.521471295588429,-0.5675443774022776
Jaire Alexander,26,GNB,CB,2023,2,0,2,0,0,8,8,0,0,0,0.27,0.01,-0.7952746595151975,0.8884293714033269,0.10973109615980242
Jonathan Allen,28,WAS,DT,2023,5,0,1,0,3,19,8,11,5,6,0.57,0.04,1.8520605461483266,-0.41800416794475465,-0.6449472886665153
Shaquil Barrett,31,TAM,OLB,2023,4,1,1,0,1,9,8,1,0,5,0.25,0.01,0.2636594227502121,0.8884293714033269,-0.9787473434935405
Christian Benford,23,BUF,CB,2023,4,0,2,0,0,11,8,3,1,0,-0.67,-0.03,-0.5305411389488451,0.07190840931077593,-0.8336168848730948
James Bradberry,30,PHI,CB,2023,4,0,2,0,0,14,8,6,0,0,-0.7,-0.04,-0.7952746595151975,0.07190840931077593,-0.6159211969424262
Jonathan Bullard,30,MIN,DL,2023,5,0,0,0,0,18,8,10,0,0,-1.52,-0.1,-0.7952746595151975,-0.7446125527817751,-0.7029994721146936
Jadeveon Clowney,30,BAL,OLB,2023,5,0,1,0,1.5,11,8,3,2,5,-0.38,-0.02,0.6342863515431055,-0.41800416794475465,-1.1093647562519418
Carlton Davis,27,TAM,CB,2023,2,0,2,0,0,10,8,2,0,0,0.42,0.01,-0.7952746595151975,0.8884293714033269,0.3999920134006939
Mike Edwards,27,KAN,S,2023,5,1,3,0,1,11,8,3,2,1,0.24,0.02,0.051872606297130225,1.2150377562403472,-1.1093647562519418
Kaiir Elam,22,BUF,CB,2023,1,0,0,0,0,11,8,3,0,0,1.02,0.01,-0.7952746595151975,-0.7446125527817751,3.3026011858096087
Myles Garrett,28,CLE,DE,2023,4,0,0,1,5.5,10,8,2,5,13,1.45,0.07,4.433212371670262,-0.7446125527817751,-0.9061821141833177
Tashaun Gipson,33,SFO,S,2023,5,1,1,0,0,17,8,9,0,0,-0.45,-0.03,-0.7952746595151975,0.5618209865663065,-0.761051655562872
John Jenkins,34,LVR,DT,2023,4,0,1,0,0,14,8,6,1,1,-0.71,-0.04,-0.3981743786656689,-0.3363520717354995,-0.6159211969424262
Eric Kendricks,31,LAC,LB,2023,2,0,1,0,0,13,8,5,0,0,0.22,0.01,-0.7952746595151975,0.07190840931077593,0.835383389262031
DeMarvin Leal,23,PIT,DE,2023,4,0,1,0,1,10,8,2,2,2,-0.35,-0.02,0.39602618303338827,-0.3363520717354995,-0.9061821141833177
Jonathan Ledbetter,26,ARI,DL,2023,3,0,0,0,1,12,8,4,0,1,-0.53,-0.02,-0.08931860467159114,-0.7446125527817751,-0.2772834601613861
Devin Lloyd,25,JAX,LB,2023,3,0,3,0,0,19,8,11,0,0,0.42,0.02,-0.7952746595151975,0.8884293714033269,0.3999920134006939
Eric Murray,29,HOU,S,2023,5,0,0,1,0,13,8,5,0,0,-1.9,-0.12,-0.7952746595151975,-0.7446125527817751,-0.9932603893555851
Larry Ogunjobi,29,PIT,DT,2023,5,0,0,1,1,12,8,4,1,2,-1.12,-0.07,-0.05402080192941083,-0.7446125527817751,-1.0513125728037633
Adrian Phillips,31,NWE,DB,2023,5,0,0,0,0,12,8,4,0,0,-1.99,-0.13,-0.7952746595151975,-0.7446125527817751,-1.0513125728037633
Sheldon Rankins,29,HOU,DT,2023,5,0,0,0,0,11,8,3,1,1,-1.63,-0.1,-0.4775944348355746,-0.7446125527817751,-1.1093647562519418
Gregory Rousseau,23,BUF,DE,2023,4,0,2,1,3,9,8,1,4,4,0.71,0.04,1.9844273064315028,0.07190840931077593,-0.9787473434935405
Jamien Sherwood,23,NYJ,LB,2023,5,0,0,0,0,15,8,7,1,0,-1.48,-0.09,-0.5834878430621155,-0.7446125527817751,-0.8771560224592286
M.J. Stewart,28,HOU,S,2023,5,0,0,1,0,15,8,7,0,0,-1.73,-0.11,-0.7952746595151975,-0.7446125527817751,-0.8771560224592286
Derek Stingley Jr.,22,HOU,CB,2023,2,0,0,0,0,9,8,1,0,0,-0.66,-0.02,-0.7952746595151975,-0.7446125527817751,0.25486155478024813
Kevin Strong,27,ARI,DL,2023,5,0,1,0,1,13,8,5,2,1,-0.72,-0.05,0.051872606297130225,-0.41800416794475465,-0.9932603893555851
Sione Takitaki,28,CLE,LB,2023,4,0,0,0,1,11,8,3,2,1,-0.68,-0.03,0.2636594227502121,-0.7446125527817751,-0.8336168848730948
Teair Tart,26,TEN,DT,2023,4,0,0,0,0,10,8,2,3,3,-0.64,-0.03,0.39602618303338827,-0.7446125527817751,-0.9061821141833177
Ja'Sir Taylor,24,LAC,DB,2023,4,0,2,0,0,9,8,1,0,2,-0.78,-0.04,-0.5305411389488451,0.07190840931077593,-0.9787473434935405
Joe Tryon-Shoyinka,24,TAM,OLB,2023,4,0,0,0,2,10,8,2,3,4,-0.03,-0,1.3225935050156217,-0.7446125527817751,-0.9061821141833177
Christian Wilkins,28,MIA,DT,2023,5,0,2,0,1.5,19,8,11,1,6,0.04,0,0.5283929433165645,-0.09139578310773423,-0.6449472886665153
DeShawn Williams,31,CAR,DT,2023,5,0,0,0,0,13,8,5,1,1,-1.49,-0.09,-0.4775944348355746,-0.7446125527817751,-0.9932603893555851
Chase Young,24,WAS,DE,2023,4,0,1,0,3,11,8,3,3,7,0.65,0.03,2.116794066714679,-0.3363520717354995,-0.8336168848730948
Troy Andersen,24,ATL,LB,2023,2,0,0,0,0.5,19,7,12,1,1,0.77,0.02,0.39602618303338827,-0.7446125527817751,1.5610356823642597
Nick Bosa,26,SFO,DL,2023,5,0,0,0,1.5,12,7,5,4,14,0.24,0.02,2.0109006584881377,-0.7446125527817751,-1.1093647562519418
Oren Burks,28,SFO,LB,2023,5,1,1,0,0,12,7,5,2,0,-0.4,-0.03,-0.37170102660903365,0.5618209865663065,-1.1093647562519418
Calais Campbell,37,ATL,DL,2023,5,0,0,0,0,16,7,9,1,3,-1.16,-0.07,-0.26580761838249267,-0.7446125527817751,-0.8771560224592286
Jalen Carter,22,PHI,DT,2023,5,0,0,2,3.5,12,7,5,4,4,0,0,1.5873270255819742,-0.7446125527817751,-1.1093647562519418
Leonard Floyd,31,BUF,DE,2023,5,0,0,1,5.5,12,7,5,3,9,0.52,0.03,2.540367699620843,-0.7446125527817751,-1.1093647562519418
Yetur Gross-Matos,25,CAR,OLB,2023,5,0,0,0,2.5,11,7,4,3,5,-0.29,-0.02,1.1637533926758103,-0.7446125527817751,-1.16741693970012
Troy Hill,32,CAR,CB,2023,5,0,0,0,0,11,7,4,1,0,-1.84,-0.12,-0.5834878430621155,-0.7446125527817751,-1.16741693970012
Grady Jarrett,30,ATL,DL,2023,5,0,1,0,0.5,19,7,12,1,6,-0.4,-0.03,0.21071271863694158,-0.41800416794475465,-0.7029994721146936
Anfernee Jennings,26,NWE,LB,2023,3,0,0,0,0,10,7,3,1,1,-0.89,-0.03,-0.26580761838249267,-0.7446125527817751,-0.5675443774022776
Jaylon Johnson,24,CHI,DB,2023,3,0,1,1,0,9,7,2,1,0,-0.68,-0.03,-0.4422966320933943,-0.20026524472007443,-0.6642980164825749
Travis Jones,24,BAL,DT,2023,5,0,0,0,0,12,7,5,1,0,-1.76,-0.11,-0.5834878430621155,-0.7446125527817751,-1.1093647562519418
George Karlaftis III,22,KAN,DE,2023,5,0,1,0,2,15,7,8,2,4,-0.24,-0.02,0.6872330556563758,-0.41800416794475465,-0.9352082059074067
DeMarcus Lawrence,31,DAL,DE,2023,5,0,1,0,2,13,7,6,4,3,-0.11,-0.01,1.0049132803359988,-0.41800416794475465,-1.0513125728037633
Jourdan Lewis,28,DAL,CB,2023,4,0,1,1,0,10,7,3,1,0,-1.12,-0.06,-0.5305411389488451,-0.3363520717354995,-0.9787473434935405
